Item ID | Item Name | Item Description | Item Category | Stun Actions | Attached Puzzle
I_1 | Baseball Bat | A sturdy wooden baseball bat, slightly worn from use, ideal for close combat. Will stun monster for 3 actions. | Weapon | 3 | --
I_2 | Note | Fragments of lore that xan be found around the map and read by player. Stored in a separate 'Note Inventory'. | Note | -- | --
I_3 | Flashlight | Compact hand-held flashlight that throws a steady beam of light, perfect for exploring dark hallways. Can be used against monster in combat. Will stun monster for 2 actions. | Weapon | 2 | --
I_4 | Pencil | A sharpened wooden pencil with a worn eraser, useful for sketching quick maps and strategies. Can be used in combat against monster. Will stun monster for 1 action. | Weapon | 1 | --
I_5 | Stapler | A small metal stapler with a few bent staples stuck inside. Can be used in combat against monster. Will stun monster for 1 action. | Weapon | 1 | --
I_6 | Scissors | A pair of metal scissors with slightly rusted blades, sharp enough to cut through fabric and flesh, with some precision. Can be used against monster in combat. Will stun monster for 1 action. | Weapon | 1 | --
I_7 | Band-Aid | A small adhesive bandage, sealed and slightly crumpled, ready to cover and aid healing. Can be used to heal player for 40 health points. | Medical | -- | --
I_8 | Right Leg | A severed right leg, unsettingly heavy and grotesque. | Body Part | -- | P_2
I_9 | Left Leg | A detached left leg, creepily  well-preserved. | Body Part | -- | P_1
I_10 | Head | A decapitated human head, cold and expressionless, its features frozen in horror. | Body Part | -- | --
I_11 | Right Arm | A severed right arm, muscular and stiff, its fingers curled as if still gripping something. | Body Part | -- | P_5
I_12 | Left Arm | A severed left arm, pale and rigid. | Body Part | -- | P_4
I_13 | Torso | A dismembered torse, scarred and intact, dried flecks of blood still decorating its abs. | Body Part | -- | P_3
I_14 | Paintbrush | A slender paintbrush with frayed bristles and dried pigment clinging desperately to its tip. Can be used in combat against monster. Will stun monster for 1 action. | Weapon | 1 | --
I_15 | HDMI Cable | A standard HDMI with slightly frayed ends, used to transmit video and audio signals. Can be used in combat against monsters. Will stun monster for 2 actions. | Weapon | 2 | --
I_16 | 32 oz Water Bottle | A dented metal reusable water bottle, cool to the touch and half full, useful for staying hydrated - or hitting a monster. Can be used in combat against monster. Will stun monster for 3 actions. | Weapon | 3 | --
