Room ID | Room Name | Room Description | Room Exits | Exit | Exit | Exit | Exit | Exit | Exit | Monster | Items
F1_1 | Front Yard | You find yourself in a grassy field, in front of what appears to be a school with a baseball field int the far corner and a gate around the left of the building | Enter F1_2: Baseball Field; F1_3: Backyard; F1_4: Lobby. | F1_2 | F1_3 | F1_4 | 0000 | 0000 | 0000 | --- | ---
F1_2 | Baseball Field | You walk over to the baseball field and feel a cold breeze run across the back of your neck. You notice a solitary baseball bat close to you. | Enter F1_1: Front Yard. | F1_1 | 0000 | 0000 | 0000 | 0000 | 0000 | --- | Baseball Bat
F1_3 | Backyard | You squeeze through the gate into the back of the school. You notice a strange looking gate in the corner, that has slots in it in the shape of body parts. | Enter F1_1: Front Yard. | F1_1 | 0000 | 0000 | 0000 | 0000 | 0000 | --- | ---
F1_4 | Lobby | You enter the school's lobby and see four doors you can exit through. | Enter F1_5: Cafeteria; F1_6: Office; F1_7: Hallway; F1_8: Bathroom; F1_1: Front Yard. | F1_1 | F1_5 | F1_6 | F1_7 | F1_8 | 0000 | Front Desk Lady | ---
F1_5 | Cafeteria | You enter the cafeteria - a large open room full of tables and chairs. They've been scattered - someone left here in a hurry. In the midst of the mess is what looks like a ... right leg ..? | Enter F1_4: Lobby. | F1_4 | 0000 | 0000 | 0000 | 0000 | 0000 | Front Desk Lady | Right Leg
F1_6 | Office | You enter a messy room. There's a large desk with papers strewn everywhere and a fancy looking pencil. There's a door on the other end of the room. | Enter F1_4: Lobby | F1_4 | EE_1 | 0000 | 0000 | 0000 | 0000 | Front Desk Lady | Pencil
F1_7 | Hallway | You enter an empty hallway with a door on the opposite end. | Enter F1_4: Lobby; EE_1: Elevator | 0000 | 0000 | 0000 | Front Desk Lady | ---
F1_8 | Bathroom | The staff bathroom. It's very clean with a medicine cabinet on the wall. You peek inside and find a band-aid. | Enter F1_6: Office. | F1_6 | 0000 | 0000 | 0000 | 0000 | 0000 | Front Desk Lady | Band-Aid
EE_1 | Elevator F1 | You step into the elevator. | You can go up to EE_2 - floor 2; EE_3 - floor 3; F4_10 - floor 4; F1_7 - Floor 1. | F1_7 | EE_2 | EE_3 | F4_10 | 0000 | 0000 | --- | ---
F2_1 | Broadcast Room | You walk into the broadcast room, the door clicking shut behind you a little too loudly. The air feels still, as though sound itself has been trapped inside. Old control panels and microphones sit in silence, coated in a thick layer of dust. There's a shiny HDMI cable. A red "ON AIR" sign flickers once and dies - yet you didn't touch anything. | Enter F2_6: Storage Room; F2_5: Study Room; F2_2: Nurse's Office. | F2_6 | F2_5 | F2_2 | 0000 | 0000 | 0000 | --- | HDMI cable
